uid,Specialization,Grad Date,Organization,Organization Department,Unified Titles,Position Title,Position Type,City,State,Industry,Type of Organization,Employment Responsibilities,Most valueable SI skills,Coursework relevance,Most important skills for job,Internship while at SI,Internship Organization or Past Experience,Level of value from internship,Ideal Position,Salary,Background,Background Discipline
745,IPOL,4/8/14,Information Services Group,,Data Specialist,Data Targeting Associate,Professional Permanent - Full Time,Portland,OR,Computer,Computer: Data,"Run data analysis on voters and voter actions for progressive organizations, come up with technology solutions to automate reporting and enable better voter outreach and provide training and support on voter targeting software for partner organizations","SI iTrack, internet sites, contacts (personal and/or professional), UM career center (job fairs, on-campus interviewing, Mployment Link) and listservs ",,,,,Extremely,,"$50,000 ",IMS,Science & Math
171,HCI,12/9/14,RDW Group,iFactory,Information Architect,"Information Architect & User Experience, Associate",Professional Permanent - Full Time,Boston,MA,Computer,Computer: Software/Internet,"Website/Database/Information Systems Development, Usability, Research","Course: SI 682, 688, 658 Summer Intern at MIT",5 - Extremely Relevant,"Wireframes, sitemaps, competitive assessment, Heuristic evaluation, surveys, prototypes",Yes,MIT,Extremely,8,,Computer Science,Science & Math
196,HCI,8/9/14,Roundarch,User Experience,Information Architect,Information Architect,Professional Permanent - Full Time,New York & Chicago,NY,Computer,Computer: Software/Internet and Consulting,"Consulting, Information Visualization, and Usability (Human Factors Research/Information Architecture/Evaluation Design)","Mark Newman, Lada Adamic, Mick McQuaid, Mark Ackerman, and Paul Resnick",5 - Extremely Relevant,"Usability, psychology, markup/opp principles, and research",Yes,"HUGE, Inc",Minimally,7,,Computer Science,Science & Math
354,HCI,4/9/14,Sears Holdings,N/A,Information Architect,User Experience Architect,Professional Permanent - Full Time,Chicago,IL,Corporate,Corporate: consumer products,Usability (Human Factors Research/Information Architecture/Evaluation Design),"SI 682, 658, 622 SOCHI design jams, others not so much",4 - Somewhat Relevant,"Interaction design, wireframing, usability testing and rapid prototyping",Yes,UM Digital Library Production Service and Harvard University Initiative for Innovate Computing,Moderately,6,,Computer Science,Science & Math
199,Tailored,12/6/14,Self-Employed,,Information Architect,Information Architect,Professional Temporary - Full Time,Ann Arbor,MI,Corporate,"Corporate: web design, e-commerce, consulting",,practical courses taught by adjunct faculty were the best for me as I was entering to a professional practice.,3 - Neutral,"Networking (and understanding of networks), understanding of relations between math and systems, confidence and believe in informaiton as a discipline, IA, problem solving",,,,8,,Computer Science,Science & Math
79,Tailored,5/9/14,University of Michigan,Ford School of Public Policy,Information Manager,Information Manager - Admissions & Recruitment,Professional Permanent - Full Time,Ann Arbor,MI,University,University/College,"Business Analysis/Development, Website/Database/Information Systems Development, Usability, Records Preservation/Management, Research, Statistical/Data Analysis, Admissions/Higher Education Administration",My internship in my first year directly led to being offered this position,4 - Somewhat Relevant,"User centered design, systematic thinking about information problems, records management, IT and higher education coursework (ie open source and Open Educational Resources)",Yes,"two actually, one at the admissions office in public policy and a second to work with a web designer creating a collaborative drupal based website",Extremely,9,,Computer Science,Science & Math
492,HCI,12/9/14,Yahoo!,User Experience Design,Interaction Designer,Interaction Designer,Professional Permanent - Full Time,Santa Clara,CA,Computer,Computer: Software/Internet,"Website/Database/Information Systems Developemtn, Information Visualization, Usability (Human Factors Research/Information Architecture/Evaluation Design), Incentive Centered Design, Multi Media Design, Product Development",,5 - Extremely Relevant,"Designing or developing process with team members, in many SI courses, we do the teamwork. We have to explain and justify our own opinion to another team member with relevant reasons to develop it. We learn how to reflect other people's opinion in that process. I think I learned how to work in a team in SI and it is one of the most valuable things that I've got here.  - Problem solving skills: In the three onsite interview, I should solve many design problems as soon as I met the problem. I thought I could get these skills from Design Exercise session in Si 682 class. How fast we can come up with ideas, and how we can develop it in reliable solution were very important in the interviews.",Yes,,Extremely,8,,Computer Science,Science & Math
403,HCI,4/9/14,Yahoo!,Yahoo! Open Social,Interaction Designer,Interaction Designer,Professional Permanent - Full Time,Sunnyvale,CA,Computer,Computer: Software/Internet,"Information Visualization, Usability (Human Factors Research/Information Architecture/Evaluation Design), and Project Management","Job related activities on campus outside of classes (research, part time job, participation in organizations), group projects, class projects/portfolio building activities",5 - Extremely Relevant,"Project Management, communicating design decisions, analytic thinking and research methodologies",Yes,"Yahoo, Inc",Extremely,9,,Mathematics,Science & Math
558,HCI,12/9/14,Cisco Systems,User Experience,Interaction Designer,Interaction Designer,Professional Permanent - Full Time,San Jose,CA,Computer,Computer: Software/Internet,Usability (Human Factors Research/Information Architecture/Evaluation Design),"Design jams organized by SOCHI; SI 682 & SI 622; side projects (like CHI design competition) / hit or miss, some were very useful, some were not at all",4 - Somewhat Relevant,"The language of the field (terms like agile development cycle, iterative prototyping), fundamental design & research methodologies (like everything from 682 & 622), and being in touch with latest tech trends as a natural result of being part of the SI community and skimming through the listservs",Yes,NASA Ames Research Center,Moderately,9,,Computer Science,Science & Math
68,HCI,12/6/14,Microsoft,,IT,Software Designer- Test,Professional Permanent - Full Time,Redmond,WA,Corporate,Corporate: software,,"intro to java, knowledge management, 501",3 - Neutral,,,,,9,,Computer Science,Science & Math
342,SC/ICD,5/9/14,"Amazon.com, Inc",Amazon Web Services,IT,Software Development Engineer,Professional Permanent - Full Time,Seattle,WA,Computer,Computer: Software/Internet,Website/Database/Information Systems Development,"The skills that were most important in obtaining my current position were probably related to my undergraduate work and professional work before SI.  But my experience will help me advance further in my career, it gives me a unique perspective other software engineers many not have",4 - Somewhat Relevant,"My ICD coursework and research in IAR will definitely help me design better systems in this job and any future positions.  In addition, the focus on positive social change in SI has inspired me to join the Seattle Net Tuesday group.  This group may be useful to other SI graduates in that area still looking for employment: http://seattlenettuesday.ning.com",Yes,Amazon.com,Extremely,8,,Computer Science,Science & Math
383,IPOL,5/9/14,University of Michigan,University Libraries,Policy Analyst,Copyright Specialist,Professional Temporary - Full Time,Ann Arbor,MI,Library,Library: Academic,Intellectual Property,,4 - Somewhat Relevant,,Yes,Creative Commons,Extremely,8,,Computer Science,Science & Math
530,ARM/LIS,4/9/14,University of Michigan,Medical School - Center for the History of Medicine,Librarian,Digital Librarian,Professional Temporary - Full Time,Ann Arbor,MI,Library,Library: Academic,"Archives/Conservation, Digital Preservation/Digital Asset Management/Information Preservation, Website/Database/Information Systems Development, Website/Database/Information Systems Administration, Metadata & Taxonomy Creation/Management, Project Management, and Research","Career Counseling events/lectures (i.e. How to interview for library jobs or Day in the Life of_), meeting with career counselors, building professional network through courses/internships",5 - Extremely Relevant,"How to network, latest tools/theories/ideas about information work, problem solving for tomorrow's problems, how users approach/use information ",Yes,"Dolph Briscoe center for American History, University of Texas-Austin",Extremely,8,,Computer Science,Science & Math
623,LIS,4/8/14,Columbia University,Arthur Diamond Law Library,Librarian,Electronic Resources Librarian,Professional Permanent - Full Time,New York,NY,Library,Library: Academic,"Maintain access to electronic resources for law school community, implement library purchased software systems, and provide leadership in new technologies for the law library",Internet sites and contacts (professional and/or personal),5 - Extremely Relevant,Did not answer,,,,10,"$55 - $65,000",IMS,Science & Math
533,Tailored,4/9/14,"University of Colorado, Boulder",University Libraries,Librarian,Librarian - Art & Architecture,Professional Permanent - Full Time,Boulder,CO,Library,Library: Academic,"Library Services (Youth/Adult Services, cataloging, Children's services, collection development/acquisition, indexing, instruction/training/teaching, and library services administration) and research","My experiences as a ULA, Most relevant courses; 647, 620, 615, 633, 581 and 651",4 - Somewhat Relevant,Project management,Yes,"ULA and AAEL; intern at the History of Art Visual Resources Collection, intern in the University Library Instructor College",Extremely,10,,Computer Science,Science & Math
775,LIS,4/8/14,"University of Texas, Arlington",,Librarian,"Librarian - Communication, English and History",Professional Permanent - Full Time,Arlington,TX,Library,Library: Academic,,"Comfort with technology, awareness of information architecture",5 - Extremely Relevant,,Yes,ULA - Hatcher Graduate Library,Extremely,,"$42,000 ",IMS,Science & Math
429,Tailored,5/9/14,University of Michigan,"Art, Architecture & Engineering Library",Librarian,Librarian - Engineering,Professional Permanent - Full Time,Ann Arbor,MI,Library,Library: Academic,"Library Services (Youth/Adult Services, Cataloging, Children's Services, Collection Development/Acquisition, Indexing, Instruction/Training/Teaching, Library Services Administration)","Being a University Library Associate (having actual experience with reference work), having practical projects and team/group experiences to discuss.",5 - Extremely Relevant,"Team work, communication skills, knowing what the important goals are of an academic library (teaching information skills, providing research assistance, etc)",Yes,"UM's AAEL as a ULA, also worked with Shannon Zachary for a semester in Preservation & Conservation",Extremely,9,,Computer Science,Science & Math
686,LIS,4/8/14,University of Michigan,University Libraries,Librarian,Librarian - Special Projects,Professional Temporary - Full Time,Ann Arbor,MI,Library,Library: Academic,,"Project management, communicating in a group project setting, general knowledge of library operations, basic programming ability/knowledge, knowledge of technical services/ILS systems",5 - Extremely Relevant,,Yes,"UM Law Library, Donor Relations Writer, Boston University",Extremely,,"$43,500 ",IMS,Science & Math
399,LIS/CI,4/9/14,University of Michigan,University Libraries - Shapiro Graduate Library,Librarian,Librarian - Undergraduate Learning,Professional Permanent - Full Time,Ann Arbor,MI,Library,Library: Academic,"Library Services (Youth/Adult Services, Cataloging, Children'ts Services, Collection Development/Acquisition, Indexing, Instruction/Training/Teaching, Library Services Administration)","Internship at the UGL.  Instruction, library programs and public services",5 - Extremely Relevant,"Community information studies, reference services, collection development, presentations, outcome-based evaluation.",Yes,UM Shapiro Undergraduate Library,Extremely,9,,Computer Science,Science & Math
1255,LIS,4/9/14,IRS,"Department of the Treasury, Office of Chief Counsel - Library Division",Librarian,Librarian,Professional Permanent - Full Time,Washington,DC,Library,Library: Government,"Library Services (Youth/Adult Services, Cataloging, Children's Services, Collection Development/Acquisition, Indexing, Instruction/Training/Teaching, Library Services Administration)","As much as I hate to admit it, all of those forced group projects really helped me hone my organizational abilities.  Also, being exposed to a breadth of perspectives helped me be even more well-rounded",5 - Extremely Relevant,"It's difficult to say, because I don't exactly know what I'll be doing at my new job",Yes,"Donald Hall Collection, US EPA",Moderately,4,,IMS,Science & Math
598,LIS,4/9/14,Canton Public Library,,Librarian,Adult Services Substitute,Professional Temporary - Part Time,Canton,MI,Library,Library: Public,,,,,,,,,,Computer Science,Science & Math
497,ARM/PI,4/9/14,Library of Congress,Recorded Sound Section,Library Media Specialist,Library Technician,Professional Permanent - Full Time,Culpeper,VA,Library,Library: Government,"Library Services (Youth/Adult Services, Cataloging, Children's Services, Collection Development/Acquisition, Indexing, Instruction/Training/Teaching, Library Services Administration), Archives/Conservation and Digital Preservation/Digital Asset Management/Information Preservation","Internships/Jobs, AV-specific processing experience, Cataloging experience, and Coursework, particularly digital preservation coursework",5 - Extremely Relevant,Did not answer,Yes,"UM Map Library, UM Libraries Preservation Dept., UM School of Information (Dr. Paul Conway) and MSU Archives and Historical Collections",Extremely,9,,Computer Science,Science & Math
909,LIS/SLM,4/9/14,Plymouth Canton Community School District,East Middle School,Library Media Specialist,Library Media Specialist,Professional Permanent - Full Time,Plymouth,MI,Library,Library: K-12 School,"Library Services (Youth/Adult Services, Cataloging, Children's Services, Collection Development/Acquisition, Indexing, Instruction/Training/Teaching and Library Services Administration)",Did not answer,5 - Extremely Relevant,Did not answer,No,,Did not answer,10,,Electrical Engineering,Science & Math
435,SLM,4/9/14,Alexandria City Public Schools,University Libraries - Library Media Department,Library Media Specialist,Library Media Specialist,Professional Permanent - Full Time,Alexandria,VA,Library,Library: K-12 School,"Library Services (Youth/Adult Services, Cataloging, Children's Services, Collection Development/Acquisition, Indexing, Instruction/Training/Teaching, Library Services Administration)",The school library management course taught by Marilyn Kiefer.  Cataloging with Karen Markey and my PEP Internship.,5 - Extremely Relevant,"Management, research, and web design",Yes,Cengage Gale,Extremely,8,,Computer Science,Science & Math
910,ICD,4/9/14,LittlePinch,,President,President,Professional Permanent - Full Time,,,Sales,Retail,,,,,,,,,,Electrical Engineering,Science & Math
86,HCI/SC,5/9/14,Troubadour Mobile / University of Michigan Library,Did not answer,Product Manager,Product Developer & Product Manager,Professional Permanent - Part Time / Professional Temporary - Part Time,Ann Arbor,MI,Computer,Computer: Software/Internet,"Usability, Incentive Centered Design and Product Development",SI 682: Interface and Interaction Design (though this course lacks visual design instruction and practice) and Library 2.0 Student Design Competition,5 - Extremely Relevant,"Learning a user/incentive centered design process and exposure to great resources on the process (methods, books, leaders in the field, etc)",Yes,"University Library Sakaibrary Project, Troubadour Mobile",Extremely,8,,Computer Science,Science & Math
195,ARM/IPOL,4/9/14,GMAC Financial Services,Company Records and Information Management,Project Manager,Administrative Assistant,Professional Temporary - Full Time,Detroit,MI,Financial,Financial Services/Banking,Digital Preservation/Digital Asset Management/Information Preservation; Records Preservation/Management,"ASB, internships, group projects, and participation in ARMA (a non-SI activity, but professional participation was encouraged by SI)",4 - Somewhat Relevant,"Project management, professional networking, up-to-date knowledge of my field",Yes,GM & State of Michigan Records management Services,Extremely,3,,Computer Science,Science & Math
166,HCI/ICD,4/9/14,University of Michigan,School of Information,Researcher,Research Assistant,Professional Temporary - Full Time,Ann Arbor,MI,Computer,"Computer: Software/Internet, University/College",Research,Did not answer,5 - Extremely Relevant,Did not answer,Yes,Acer Inc,Neutral,5,,Computer Science,Science & Math
557,HCI,4/9/14,University of Michigan,School of Information,Researcher,Independent Researcher,Professional Temporary - Part Time,Ann Arbor,MI,University,University/College,,,,,,,,,,Computer Science,Science & Math
751,MSW,12/8/14,University of Michigan,School of Information,Researcher,Research Intern,Professional Temporary - Full Time,Ann Arbor,MI,University,University/College,"Community Information/Technology, project management and research",Community Information Corps Seminar,5 - Extremely Relevant,"Contextual Design Skills, expertise on Social Networking sites and CSCW tools",Yes,"UofM Office of the Provost, UofM Ross School of Business",Extremely,10,,IMS,Science & Math
217,HCI,5/6/14,Lewis & Clark College,Masters in Education,student,Masters Student,Student,Portland,OR,University,University/College,,,,,,,,,,Computer Science,Science & Math
241,LIS,4/9/14,DePaul University,College of Law,student,PhD Student,Continuing for a PhD,Chicago,IL,University,University/College,Intellectual Property,My background in libraries and my overall degree led me to acceptance to a JD program which will focus on Intellectual Property,5 - Extremely Relevant,,Yes,UM Instructors College,Moderately,8,,Computer Science,Science & Math
303,PI,5/9/14,University of Michigan,School of Information,student,PhD Student,Continuing for a PhD,Ann Arbor,MI,University,University/College,Research,Did not answer,5 - Extremely Relevant,Did not answer,Yes,UM Copyright Office; University of Chicago Library; Iowa State University Library,Moderately,10,,Computer Science,Science & Math
67,HCI,4/9/14,University of Washington,,student,PhD Student,Continuing for a PhD,,WA,University,University/College,,,,,,,,,,Computer Science,Science & Math
611,HCI,5/9/14,"Adobe Systems, Inc",Experience Design Team,UX Designer,Experience Designer,Professional Permanent - Full Time,San Francisco,CA,Computer,Computer: Software/Internet,"Usability (Human Factors Research/Information Architecture/Evaluation Design), Research and Product Development",SI 682 and 622,5 - Extremely Relevant,"Contextual Inquiry, User Research, Usability Analysis, Cognitive Psychology (PSYCH 740)",Yes,"Adobe Systems, Inc",Extremely,8,,Computer Science,Science & Math
601,HCI,12/9/14,Fast Switch,,UX Designer,User Interface Designer,Professional Permanent - Full Time,Dublin,OH,Computer,Computer: Software/Internet,,,,,,,,,,Computer Science,Science & Math
376,HCI,5/9/14,Lockheed Martin,Global CI,UX Designer,Usability Specialist - Interface Designer / Human Fac,Professional Permanent - Full Time,Baltimore,MD,Government,Government/Public/NGO,Usability (Human Factors Research/Information Architecture/Evaluation Design),All project work dealing with usability/user experience design/information architecture,5 - Extremely Relevant,"Usability, Interface Design, Information Architecture",Yes,IBM,Extremely,9,,Computer Science,Science & Math
347,HCI,12/9/14,Jstor,User Experience,UX Designer,User Experience Specialist,Professional Temporary - Full Time / contract to hire,Ann Arbor,MI,Media,Multimedia/Publishing,"Digital Preservation/Digital Asset Management/Information Preservation, Usability",622 682 eCommunities,4 - Somewhat Relevant,Internships were the best thing. Networking contacts second best thing. Practical applicable knowledge third best.,Yes,MAIS,Extremely,7,,Computer Science,Science & Math
229,HCI,4/9/14,"SAP Labs, India",User Experience,UX Designer,User Experience Intern,Professional Temporary - Full Time,Bangalore,Karnataka (India),University,University/College,"Usability, Research","SI 682, 622",5 - Extremely Relevant,"Project management, usability evaluation",Yes,"Yahoo!, ProQuest",Extremely,4,,Computer Science,Science & Math
163,HCI,12/6/14,"Aspera, Inc",,UX Developer,Usability Engineer,Professional Permanent - Full Time,Emeryville,CA,Corporate,Corporate: software,,"class presentation, SI 622, information architecture",3 - Neutral,social skills,,,,5,,Computer Science,Science & Math
85,HCI,4/9/14,Oracle,,UX Researcher,User Experience Researcher,Professional Permanent - Full Time,San Francisco,CA,Corporate,Corporate: web design,,,,,,,,,,Computer Science,Science & Math
1192,HCI,5/9/14,Capital One,IT Division,Analyst,Systems Business Analyst,Professional Permanent - Full Time,Richmond,VA,Financial,Financial Services/Banking,"Business Analysis/Development, Usability","SI 682, 501, 622, semester internship at UM Library usability group, group work",5 - Extremely Relevant,"Presenation skills, report writing, requirements analysis, usability analysis",Yes,"IBM, UM Library Usability Working Group",Extremely,9,,Economics,Social Science
727,MSI,,Infinity Primary Care,,Analyst,Support Analyst,Professional Permanent - Full Time,,MI,Healthcare,Healthcare,,,,,,,,,,Psychology,Social Science
583,IEM,4/8/14,Silicon Storage Technology,,Analyst,Business Analyst,Professional Permanent - Full Time,San Francisco,CA,Computer,Computer: Software/Internet,,,,,,,,,,International Relations,Social Science
651,ARM/PI,4/9/14,National Archives and Records Administration,Textual Archives Services Division,Archivist,Archives Technician,Professional Temporary - Full Time,College Park,MD,Government,Government/Public/NGO,"Archives/Conservation, Digital Preservation/Digital Asset Management/Information Preservation, Records Preservation/Management",Did not answer,4 - Somewhat Relevant,Did not answer,Yes,National Archives and Records Administration South Carolina Political Collections,Extremely,4,,Political Science,Social Science
1237,ARM/LIS,4/9/14,National Archives and Records Administration,Textual Records,Archivist,Archives Technician,Professional Temporary - Full Time,College Park,MD,Government,Government/Public/NGO,"Archives/Conservation, Digital Preservation/Digital Asset Management/Information Preservation, and Records Preservation/Management",Did not answer,5 - Extremely Relevant,Did not answer,Yes,Gerald Ford Presidential Library,Extremely,6,,Economics,Social Science
651,ARM/PO,4/9/14,National Archives and Records Administration,George W. Bush Presidential Library,Archivist,Archivist,Professional Permanent - Full Time,Lewisville,TX,Government,Government/Public/NGO,Archives / Conservation,Did not answer,5 - Extremely Relevant,Did not answer,Yes,"ASB 2008, ASB 2009, South Carolina Political Collection, University of Michigan Press work - Gerald R. Ford Presidential Library volunteer - Bentley Historical Library",Extremely,10,,Political Science,Social Science
647,ARM/MSP,4/9/14,NARA,Center for Legislative Archives,Archivist,Intern,Professional Temporary - Full Time,Washington,DC,Government,Government/Public/NGO,"Archives/Conservation, Records Preservation Management and Research",Having the ALA accredited degree means more than any of the individual experiences,5 - Extremely Relevant,Archival theory and MSP practical experiences,Yes,EPA and the Bentley,Moderately,6,,Political Science,Social Science
682,ARM,12/9/14,Ohio Historical Society,State Archives of Ohio,Archivist,"Archivist, I - Government Records",Professional Permanent - Full Time,Columbus,OH,Museum,Museum/Historical Society,"Archives/Conservation, Records Preservation/Management",Appraisal and Access Systems Courses,5 - Extremely Relevant,"Time management, presentation skills, knowledge of appraisal, knowledge of access systems",Yes,History of Art VRC,Minimally,8,,Psychology,Social Science
1236,ARM,4/8/14,Johns Hopkins University,,Archivist,Digital Archivist,Professional Temporary - Full Time,Baltimore,MD,University,University/College,,"Technology, problem solving and research abilities",,,Yes,"Abbott Laboratories / SAA, ARMA",Neutral,,"$50,000 ",Economics,Social Science
845,ARM,4/8/14,Arizona State University,,Archivist,Project Archivist,Professional Temporary - Full Time,Tempe,AZ,University,University/College,,"Information Management, general knowledge of Archival practices and experience with EAD",5 - Extremely Relevant,,Yes,"The Coca-Cola Company, The William L. Clements Library",Extremely,,"$43,000 ",Marketing,Social Science
639,ARM/LIS,4/9/14,University of Michigan,International Institute,Archivist,Systems Librarian & Archivist,Professional Temporary - Full Time,Ann Arbor,MI,University,University/College,Digital Preservation/Digital Asset Management/Information Preservation and Multi-Media Design,"Possibly my electronic records course.  I had to teach a lot of the stuff (especially websites/media) on my own, or on the job",5 - Extremely Relevant,How to process/organize information,Yes,UM International Institute,Extremely,7,,Political Science,Social Science
856,Tailored,4/9/14,University of Michigan,"University Librarie, Digital Conversion Unit, DLPS",Archivist,Audio Digitization Specialist,Professional Temporary - Full Time,Ann Arbor,MI,Library,Library: Academic,"Archives/Conservation, Digital Preservation/Digital Asset Management/Information Preservation","Internships were definitely paramount to getting the job!  The job was created out of a digital preservation internship I had, and created with me in mind.",5 - Extremely Relevant,Did not answer,Yes,"EMU, UM Library Preservation and Conservation, Bentley Historical Library (via Paul Conway grant-writing project)",Extremely,10,,Psychology,Social Science
652,IEM/CI,4/9/14,Confidential,Department of Finance,Associate,Associate,Professional Permanent - Full Time,Grand Rapids,MI,Computer,"Computer: Hardware/Electronics, Healthcare and Telecommunications","Business Analysis/Development, E-Commerce/E-Marketing/Marketing/Competitive and Intelligence/Analysis",Everything is useful,4 - Somewhat Relevant,Team work and communication skill,Yes,Evergreen Inc,Moderately,10,,Political Science,Social Science
809,MSI,4/9/14,Mercedes-Benz Technology,,Associate,Cooperation Partner,Professional Permanent - Full Time,Troy,MI,Corporate,Corporate: research,,,,,,,,,,Psychology,Social Science
371,ARM/ICD,12/9/14,High Monkey Consulting,N/A,Consultant,Collaboration Consultant,Professional Permanent - Full Time,Minneapolis,MN,Computer,Computer: Software/Internet,"Business Analysis/Development, Consulting, Metadata & Taxonomy Creation/Management","PEP, RM courses / I took a variety of classes that I think all contributed to my approach to my future job",5 - Extremely Relevant,"SI 501, 502, 528, 655 will be helpful. Most of what I learned was on the job (which I got because I was an SI student primarily)",Yes,UM Rackham Graduate School,Extremely,9,,Marketing,Social Science
364,ARM,4/9/14,Iron Mountain,Consulting Services,Consultant,Consultant,Professional Permanent - Full Time,Boston,MA,Corporate,Corporate: consulting,"Consulting, Project Management, Records Preservation/Management","SISA, Client projects, records management education",5 - Extremely Relevant,"Records management education, ability to handle multiple client relationships",Yes,Ark Sound Grant Writing Project with Paul Conway and UM Social Work Library,Neutral,9,,Marketing,Social Science
827,HCI,4/9/14,Sears Holdings,Did not answer,Information Architect,User Experience Architect,Professional Permanent - Full Time,Chicago,IL,Computer,Computer: Software/Internet,E-Commerce/E-Marketing/Marketing/Competitive and Intelligence/Analysis,Working in teams and producing project deliverables,5 - Extremely Relevant,"Researching users, creating deliverables to show potential employers, working in teams",Yes,"Lisa P. Maxwell, Sears Holding",Extremely,7,,Psychology,Social Science
794,HCI,4/8/14,Enlighten,,Information Architect,Information Architect,Professional Permanent - Full Time,Ann Arbor,MI,Corporate,Corporate: web design,"Collect data on user and client needs for web design, communicate design ideas to clients and developers and create blueprints and wireframes so that developers can build the website","SI iTrack, on-campus interviewing (through SI), contacts (professional and/or personal) and expoSItion",5 - Extremely Relevant,,Yes,,,,"$60,000 ",Political Science,Social Science
1209,HCI,4/9/14,"Fuzzy Math, LLC",,Interaction Designer,Interaction Designer,Professional Permanent - Full Time,Chicago,IL,Computer,Computer: Software/Internet,,,,,,,,,,Political Science,Social Science
864,HCI,4/8/14,Blackbaud,,Interaction Designer,"Interaction Designer, II",Professional Permanent - Full Time,Charleston,SC,Corporate,"Corporate: web design, consulting",,"Solid design principles, ability to both give and take constructive critique, and understanding the implications of usability",3 - Neutral,,Yes,"BioMedWare, Inc",Neutral,,"$67,000 ",Marketing,Social Science
837,LIS,4/9/14,University of Michigan,University Libraries - Shapiro Undergraduate Library,Librarian,Librarian - Undergraduate Learning,Professional Permanent - Full Time,Ann Arbor,MI,Library,Library: Academic,"Library Services (Youth/Adult Services, Cataloging, Children's Services, Collection Development/Acquisition, Indexing, Instruction/Training/Teaching and Library Services Administration)",SI 647,4 - Somewhat Relevant,"Knowing how to find informatioon resources.  This is a teaching position, and I had already obtained a 7-12 teaching certification",Yes,UM Hatcher Graduate Library,Extremely,9,,Psychology,Social Science
1245,IPOL,4/9/14,University of Michigan,University Libraries - Law Library,Librarian,"Librarian, Associate",Professional Permanent - Full Time,Ann Arbor,MI,Library,"Library: Academic, Corporate, Special, Law",Library Services,Research and reference skills related to courses,4 - Somewhat Relevant,Teamwork and research skills,Yes,UM Law Library,Extremely,10,,Economics,Social Science
564,LIS,4/8/14,San Jose Public Library,,Librarian,"Librarian, I",Professional Permanent - Full Time,San Jose,CA,Library,Library: Public,"Reference and reader's advisory, public programming and outreach","SI iTrack, internet sites, and listservs",2 - Not Very Relevant,,Yes,,,,"$60,700 ",International Relations,Social Science
876,ARM,4/9/14,Jstor,,Librarian,Librarian - Production,Professional Permanent - Full Time,Ann Arbor,MI,Media,Multimedia/Publishing,,,,,,,,,,Psychology,Social Science
47,LIS,4/9/14,Nolo,Sales and Marketing,Library Media Specialist,Library Sales and Marketing Assistant,Professional Permanent - Full Time,Berkeley,CA,Media,"Advertising/PR/Marketing, Multimedia/Publishing",Did not answer,Internships,4 - Somewhat Relevant,"An understanding of libraries and different aspects of them (i.e. collection development), project management skills and presentation skills",Yes,Henry Holt Books for Young Readers and Entertainment Weekly,Extremely,9,,Marketing,Social Science
825,SLM/LIS,12/9/14,Lake Orion Community Schools,Stadium Drive Elementary for the Arts,Library Media Specialist,Long-term Substitute Library Media Specialist,Professional Temporary - Full Time,Lake Orion,MI,Library,Library: K-12 School,Library Services,Student teaching experience,4 - Somewhat Relevant,Did not answer,No,"but I was a student teacher at Birmingham Groves High School in Birmingham, MI and Springfield Plains Elementary school in Clarkston, MI",Extremely,10,,Psychology,Social Science
754,IEM/ICD,4/9/14,SocialToaster,,Project Manager,Account Manager,Professional Permanent - Full Time,,,Computer,Computer: Software/Internet,,,,,,,,,,Psychology,Social Science
1243,HCI,4/9/14,University of Michigan,English Language Institute,Researcher,Research Assistant,Professional Temporary - Part Time,Ann Arbor,MI,Computer,Computer: Software/Internet,"Website/Database/Information Systems Development, Information Visualization, Usability (Human Factors Research/Information Architecture/Evaluation Design), Incentive Centered Design","HCI Courses, especially 622",5 - Extremely Relevant,"Usability testing, presenting and graphic design",Yes,Borqs Technology Ltd,Moderately,3,,Economics,Social Science
622,HCI/SC,12/9/14,University of Michigan,School of Information,Researcher,Research Assistant,Professional Temporary - Full Time,Ann Arbor,MI,University,University/College,"Website/Database/Information Systems Development, Usability (Human Factors Research/Information Architecture/Evaluation Design) and Research",Did not answer,Did not answer,Did not answer,Yes,TechSmith (2 summers),Extremely,8,,Political Science,Social Science
914,HCI,4/9/14,University of Michigan,IRLEE,Researcher,Research Associate,Professional Permanent - Part Time / Professional Temporary - Part Time,Ann Arbor,MI,University,University/College,"Consulting, Project Management, and Research","Contextual inquiry, team/group work, networking, project management tools (GANTT charts, etc)",5 - Extremely Relevant,See 22,Yes,UM Museum of Paleontology (short 2 credit internship),Moderately,4,,Business,Social Science
664,HCI,4/9/14,Laserfiche,,UX Designer,User Experience Designer,Professional Permanent - Full Time,Long Beach,CA,Computer,Computer: Software/Internet,,,,,,,,,,Business,Social Science
756,HCI,4/9/14,Self-Employed,,UX Designer,User Experience Designer,Professional Temporary - Part Time,Seattle,WA,Computer,Computer: Software/Internet,"Consulting, Usability (Human Factors Research/Information Architecture/Evaluation Design), Interface Design","Evaluation of systems and services, information architecture, interface and interaction design / courses where you make things most relevant",5 - Extremely Relevant,"Interface design, usability assessment, user testing",Yes,UM Women in Science & Engineering Program,Extremely,3,,Psychology,Social Science
916,HCI,12/9/14,VoyageurWeb,,UX Designer,User Interface Designer / Developer,Professional Permanent - Full Time,Mankato,MN,Computer,Computer: Software/Internet,,,,,,,,,,Business,Social Science
1187,HCI,12/9/14,Thunderdome Media,,UX Designer,Web / Graphic Designer,Professional Permanent - Full Time,Durbin,South Africa,Sales,Retail,,,,,,,,,,Political Science,Social Science
